ID,English_Text,Khmer_Text
16,(Phnom Penh),(ភ្នំពេញ)
17,"On the afternoon of 19 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from Her Excellency Folakemi I",នារសៀលថ្ងៃទី១៩ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្ដីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្មបានទទួលជួបសម្តែងការគួរសមជាមួយលោកជំទាវ Folakemi I. Akinleye  ឯកអគ្គរដ្ឋទូតវិសាមញ្ញ និងពេញសមត្ថភាពនៃសាធារណរដ្ឋសហព័ន្ធនីហ្សេរីយ៉ា ដើម្បីពិភាក្សាអំពីមធ្យោបាយក្នុងកិច្ចជំរុញពាណិជ្ជកម្មទ្វេភាគី
18,(Phnom Penh),(ភ្នំពេញ)
19,The weekly meeting was held under the following agenda,កិច្ចប្រជុំប្រចាំសប្ដាហ៍នេះ បានប្រព្រឹត្តទៅក្រោមរបៀបវារៈរួមមាន
20,"On the morning of 21 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, chaired the weekly meeting with the attendance of the Ministry's leaders, director general, director of department, director of provincial departments,",នាព្រឹកថ្ងៃព្រហស្បតិ៍ ទី២១ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្ដីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញដឹកនាំកិច្ចប្រជុំប្រចាំសប្ដាហ៍ ដែលមានវត្តមានចូលរួមពី ឯកឧត្តម លោកជំទាវរដ្ឋលេខាធិការ ឯកឧត្តម លោកជំទាវអនុរដ្ឋលេខាធិការ ឯកឧត្តមអគ្គនាយក លោកជំទាវអគ្គាធិការ លោក
21,draft request for nomination of composition for sectoral Working Group on Public-Private Partnership,សេចក្តីព្រាងសំណើសុំចាត់តាំងសមាសភាពចូលរួមក្នុងក្រុមការងារតាមវិស័យ សម្រាប់ធ្វើជាដៃគូពិភាក្សាការងារជាមួយវិស័យឯកជន
22,#NAME?,របាយការណ៍របស់អគ្គនាយកដ្ឋានជំរុញពាណិជ្ជកម្ម
23,Others,. បញ្ហាផ្សេងៗ
24,(Phnom Penh),(ភ្នំពេញ)
25,The meeting also discussed the UN Development Cooperation Framework 2024-2028,កិច្ចប្រជុំនេះ ក៏បានពិភាក្សាពីក្របខណ្ឌកិច្ចសហប្រតិបត្តិការអភិវឌ្ឍន៍របស់អង្គការសហប្រជាជាតិឆ្នាំ២០២៤
26,(Phnom Penh),(ភ្នំពេញ)
27,"On the evening of 22 September 2023, at the Raffles Royal Hotel in Phnom Penh, Her Excellency CHAM Nimul, the Minister of Commerce, was invited as a representative of the Royal Government of Cambodia to deliver a congratory remarks",នាល្ងាចថ្ងៃទី២២ ខែកញ្ញា ឆ្នាំ២០២៣ នៅសណ្ឋាគាររ៉ាហ្វិល ឡឺរ៉ូយ៉ាល់ភ្នំពេញ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញជាតំណាងរាជរដ្ឋាភិបាល ចូលរួមថ្លែងសុន្ទកថាអបអរសាទរ និងសំណេះសំណាលពិធីជប់លៀង ក្នុងឱកាសទិវាជាតិ និងខួបលើកទី ៧៥ នៃទិវាកងកម្លាំងប្រដាប់អាវុធនៃសាធារណរដ្ឋកូរ៉េ
28,"(Phnom
Penh)",(ភ្នំពេញ)
29,"On the morning of 26  September
2023, at the Ministry of Commerce, His Excellency Reach Ra, Secretary of State","នាព្រឹកថ្ងៃទី២៦ ខែកញ្ញា
ឆ្នាំ២០២៣ ទីស្តីការក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម រាជ រ៉ា
រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម និង ឯកឧត្តម វ៉ា
រុតសាន រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម
បានអញ្ជើញដឹកនាំកិច្ចប្រជុំផ្ទៃក្នុងដើម្បីជំរុញការអនុវត្តគោលនយោបាយជាតិស្តីពីដំឡូងមី
២០២០"
30,the National Cashew Policy 2022-2027,២០២៥ និងគោលនយោបាយជាតិស្តីពីស្វាយចន្ទីឆ្នាំ២០២២
31,(Phnom Penh),(ភ្នំពេញ)
32,"On the morning of 25 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from Her Excellency Heather Wheeler MP, the Prime Minister's Trade Envoy to Cambodia",នាព្រឹកថ្ងៃទី២៥ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអនុញ្ញាតឱ្យលោកជំទាវ Heather Wheeler MP ប្រេសិតពាណិជ្ជកម្មរបស់នាយករដ្ឋមន្ត្រីចក្រភពអង់គ្លេស ប្រចាំព្រះរាជាណាចក្រកម្ពុជា និងសាធារណរដ្ឋប្រជាធិបតេយ្យប្រជាមានិតឡាវ និងថ្នាក់ដឹកនាំរបស់ស្ថានទូតអង់គ្លេសប្រចាំកម្ពុជា ចូលជួបសម្តែងការគួរសម និងពិភាក្សាការងារពាក់ព័ន្ធនឹងការលើកកម្ពស់កិច្ចសហប្រតិបត្តិការពាណិជ្ជកម្មនិងវិនិយោគរវាងកម្ពុជានិងចក្រភពអង់គ្លេស រួមទាំងការពិភាក្សាលើការប្រើប្រាស់ប្រព័ន្ធ​អនុគ្រោះ​ពន្ធថ្មី​​សម្រាប់​ប្រទេស​កំពុងអភិវឌ្ឍន៍ ​(DCTS) និងផែនការសកម្មភាពរួមលើពាណិជ្ជកម្ម និងការវិនិយោគរវាងប្រទេសទាំងពីរផងដែរ
33,(Phnom Penh),(ភ្នំពេញ)
34,"On the afternoon of 25 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from Mr",នារសៀលថ្ងៃទី២៥ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអនុញ្ញាតជូនលោក Parson Lam នាយកការិយាល័យសេដ្ឋកិច្ច និងពាណិជ្ជកម្មហុងកុងនៅទីក្រុងបាងកក ចូលជួបសម្តែងការគួរសម និងពិភាក្សាការងារអំពីកិច្ចពង្រឹងទំនាក់ទំនងពាណិជ្ជកម្ម និងវិនិយោគបន្ថែមទៀតរវាងព្រះរាជាណាចក្រកម្ពុជា និងរដ្ឋាភិបាលនៃតំបន់រដ្ឋបាលពិសេសហុងកុង
35,(Phnom Penh),(ភ្នំពេញ)
36,The meeting discussed reaffirming India's commitment to trade,នៅក្នុងជំនួបនេះ បានពិភាក្សាអំពីការបញ្ជាក់ឡើងវិញនូវការប្តេជ្ញាចិត្តរបស់ឥណ្ឌាចំពោះកិច្ចសហប្រតិបត្តិការសេដ្ឋកិច្ច និងពាណិជ្ជកម្ម
37,"On the afternoon of 25 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from Her Excellency Dr",នារសៀលថ្ងៃទី២៥ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម អនុញ្ញាតជូនលោកជំទាវបណ្ឌិត Devyani Khobragade ឯកអគ្គរដ្ឋទូតសាធារណៈរដ្ឋឥណ្ឌាប្រចាំកម្ពុជា  ចូលជួបសម្តែងការគួរសម និងពិភាក្សាការងារ
38,(Phnom Penh),(ភ្នំពេញ)
39,"On the morning of 26 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from His Excellency Cherdkiat Atthakor, Ambassador of the Kingdom of Thailand to the Kingdom of Cambodia",នាព្រឹកថ្ងៃទី២៦ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម អនុញ្ញាតជូនឯកឧត្តម  Cherdkiat Atthakor  ឯកអគ្គរាជទូតព្រះរាជាណាចក្រថៃប្រចាំព្រះរាជាណាចក្រកម្ពុជា ចូលជួបសម្តែងការគួរសម និងពិភាក្សាការងារអំពីការពង្រឹង និងពង្រីកកិច្ចសហប្រតិបត្តិការពាណិជ្ជកម្មទ្វេភាគី និងកិច្ចសម្រួលពាណិជ្ជកម្ម ដើម្បីជាភាពងាយស្រួលក្នុងការធ្វើអាជីវកម្ម តាមច្រកព្រំដែន
40,(Phnom Penh),(ភ្នំពេញ)
41,"On the afternoon of 26 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from Mr",នារសៀលថ្ងៃទី២៦ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម អនុញ្ញាតជូនលោក Jason CHOI អនុប្រធានសហភាពសហគ្រិននៃតំបន់ Guangdong
42,(Phnom Penh),(ភ្នំពេញ)
43,"On the morning of 27 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from Her Excellency Maria Amelita C",នាព្រឹកថ្ងៃទី២៧ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម អនុញ្ញាតជូនលោកជំទាវ Maria Amelita C. Aquino ឯកអគ្គរដ្ឋទូតវិសាមញ្ញ និងពេញសមត្ថភាពនៃសាធារណៈរដ្ឋហ្វីលីពីន ប្រចាំព្រះរាជាណាចក្រកម្ពុជា ចូលជួបសម្តែងការគួរសម និងពិភាក្សាការងារអំពីកិច្ចពង្រឹងទំនាក់ទំនងពាណិជ្ជកម្ម និងសេដ្ឋកិច្ចទ្វេភាគីរវាងកម្ពុជា
44,ways to increase rice exports to the Philippine market,ហ្វីលីពីន និងកិច្ចជំរុញលទ្ធភាពនាំចេញអង្ករទៅកាន់ទីផ្សារហ្វីលីពីន
45,(Phnom Penh),(ភ្នំពេញ)
46,"On the morning of 27 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from His Excellency Justin Whyatt, Ambassador Extraordinary",នាព្រឹកថ្ងៃទី២៧ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម អនុញ្ញាតជូនឯកឧត្តម Justin Whyatt ឯកអគ្គរដ្ឋទូតវិសាមញ្ញ និងពេញសមត្ថភាពនៃប្រទេសអូស្ត្រាលី ប្រចាំព្រះរាជាណាចក្រកម្ពុជា ចូលជួបសម្តែងការគួរសម និងពិភាក្សាការងារអំពីការបង្កើនកិច្ចសហប្រតិបត្តិការលើវិស័យសក្តានុពលបន្ថែមទៀត ដូចជាវិស័យកសិកកម្ម ការកែឆ្នៃម្ហូបអាហារ និងការធ្វើពាណិជ្ជកម្មតាមប្រព័ន្ធអេទ្បិចត្រូនិច ព្រមទាំងខិតខំបង្កើនទំហំពាណិជ្ជកម្មទ្វេភាគីលើទំនិញអាទិភាពរបស់កម្ពុជា និងបង្កើនកិច្ចសហការបន្ថែមទៀតរវាងសមាគមន៍វិស័យឯកជនប្រទេសទាំងពីរ
47,(Phnom Penh),(ភ្នំពេញ)
48,"On the morning of 27 September 2023, at the Ministry of Commerce, with the high permission of Her Excellency CHAM Nimul, Minister of Commerce, His Excellency Samheng Bora, Secretary of State of the Ministry of Commerce, met with Mr",នាព្រឹកថ្ងៃទី២៧ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម ដោយមានការអនុញ្ញាតដ៏ខ្ពង់ខ្ពស់ ពីលោកជំទាវ ចម និម្មល រដ្ឋមន្រ្តីក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម សំហេង បូរ៉ា រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម បានទទួលជួបពិភាក្សាការងារជាមួយប្រតិភូសហភាពអឺរ៉ុបដឹកនាំដោយ លោក Petros Sourmelis ប្រធានផ្នែកពាណិជ្ជកម្ម និងសេដ្ឋកិច្ចរបស់សហភាពអឺរ៉ុបដែលមានទីស្នាក់ការនៅទីក្រុងបាងកក ប្រទេសថៃ…
49,(Phnom Penh),(ភ្នំពេញ)
50,"On September 25–28, 2023, at the Ministry of Commerce, with the high permission of Her Excellency CHAM Nimul, Minister of Commerce, His Excellency SAMHENG Bora, Secretary of State of the Ministry of Commerce, a Supervision Mission Team of the Enhance Integration Framework (EIF) was received to monitor the implementation of the projects under the financial support from EIF, as well as the implementation of the Go4eCAM project towards its successful completion by the end of 2023",២៨ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម ដោយមានការអនុញ្ញាតដ៏ខ្ពង់ខ្ពស់ពី លោកជំទាវ ចម និម្មល រដ្ឋមន្រ្តីក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម សំហេង បូរ៉ា រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម បានទទួលជួបក្រុមបេសកកម្មត្រួតពិនិត្យរបស់កម្មវិធីក្របខណ្ឌពង្រឹងសមាហរណកម្មពាណិជ្ជកម្ម (EIF Supervision Mission) ដើម្បីត្រួតពិនិត្យ និងតាមដានការអនុវត្តគម្រោងនៅក្រោមការឧបត្ថម្ភហិរញ្ញវត្ថុដោយអង្គភាព EIF ក៏ដូចជាការអនុវត្តគម្រោង Go4eCAM ដែលគ្រោងនឹងបិទបញ្ចប់ដោយជោគជ័យក្នុងចុងឆ្នាំ២០២៣…
51,(Phnom Penh),(ភ្នំពេញ)
52,"On the afternoon of 27 September 2023, at the Ministry of Commerce, Her Excellency TAN TepiKanika, Under Secretary of State of the Ministry of Commerce, met with Mr",នារសៀលថ្ងៃទី២៧ ខែកញ្ញា ឆ្នាំ២០២៣  នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ តាន់ ទេពីកណ្ណិកា អនុរដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម និងក្រុមការងារពីនាយកដ្ឋានចុះបញ្ជី បានទទួលជួបពិភាក្សាការងារជាមួយលោក Jean Pierre Michau អ្នកជំនាញការរបស់ធនាគារអភិវឌ្ឍន៍អាស៊ី (ADB) និងលោកស្រី ហ៊ លីគា ប្រធាននាយកដ្ឋានស្រាវជ្រាវ បណ្តុះបណ្តាល អភិវឌ្ឍន៍ទីផ្សារមូលបត្រ និងក្រុមការងារនិយតករមូលបត្រកម្ពុជា (SERC)…
53,(Phnom Penh),(ភ្នំពេញ)
54,Report of the General Department of International Trade,របាយការណ៍របស់អគ្គនាយកដ្ឋានពាណិជ្ជកម្មអន្តរជាតិ
55,Report of the General Department of Domestic Trade,របាយការណ៍របស់អគ្គនាយកដ្ឋានពាណិជ្ជកម្មក្នុងប្រទេស
56,"On the morning of Thursday, 21 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, chaired the monthly meeting with the attendance of the Ministry's leaders, director-deputy general, director-deputy of department",នាព្រឹកថ្ងៃព្រហស្បតិ៍ ទី២៨ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្ដីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញដឹកនាំកិច្ចប្រជុំប្រចាំខែកញ្ញា ដែលមានវត្តមានចូលរួមពីសំណាក់ ឯកឧត្តម លោកជំទាវរដ្ឋលេខាធិការ ឯកឧត្តម លោកជំទាវអនុរដ្ឋលេខាធិការ ឯកឧត្តមអគ្គនាយក លោកជំទាវអគ្គាធិការ លោក
57,Report of the General Department of International Trade,របាយការណ៍របស់អគ្គនាយកដ្ឋានសេវាពាណិជ្ជកម្ម
58,Report of the General Department of Domestic Trade,របាយការណ៍របស់អគ្គនាយកដ្ឋានជំរុញពាណិជ្ជកម្ម
59,Report of the General Department of Domestic Trade,របាយការណ៍របស់អគ្គនាយកដ្ឋានរដ្ឋបាល និងហិរញ្ញវត្ថុ
60,Report of the General Department of Domestic Trade,របាយការណ៍របស់អគ្គាធិការដ្ឋាន
61,"on the afternoon of Thursday 28th September 2023 at Sofitel Phnom Penh Phokeethra, Her Excellency CHAM Nimul, Minister of Commerce was invited to address an opening remark in the opening ceremony of ASEAN-Cambodia Business Summit 2023 under the session “Connectivity & Growth in the Mekong Region within ASEAN”",នារសៀលថ្ងៃព្រហស្បតិ៍ ទី២៨ ខែកញ្ញា ឆ្នាំ២០២៣ នៅសណ្ឋាគារសូហ្វីតែលភ្នំពេញ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញចូលរួមថ្លែងសុន្ទរកថាក្នុងពិធីបើកកិច្ចប្រជុំកំពូលធុរកិច្ចអាស៊ាន
62,"not least, Her Excellency Minister encouraged businessmen, investors,",ជាចុងបញ្ចប់ លោកជំទាវរដ្ឋមន្ត្រី បានលើកទឹកចិត្តដល់អ្នកជំនួញ វិនិយោគិន និងសមាជិកក្រុមប្រឹក្សាធុរកិច្ចសហភាពអឺរ៉ុប
63,"increasing the import of Cambodia’s potential goods such as textile, footwear, traveling goods,",អាស៊ាន ឱ្យពិចារណាជំរុញការវិនិយោគក្នុងវិស័យសក្តានុពលនៅកម្ពុជា មានដូចជាកសិកម្មកែច្នៃ សេវាកម្មទេសចរណ៍ និងការបង្កើនការនាំចូលទំនិញសក្តានុពលរបស់កម្ពុជាដូចជា វាយនភ័ណ្ឌ ស្បែកជើង ទំនិញធ្វើដំណើរ និងផលិតផលកម្មន្តសាលជាដើម
64,effort with ASEAN member states to implement the Master Plan on ASEAN Connectivity 2025,លោកជំទាវ ក៏បានគូសបញ្ជាក់អំពីកិច្ចខិតខំរបស់កម្ពុជាក្នុងការលើកកម្ពស់ ការតភ្ជាប់ តាមរយៈការកសាងហេដ្ឋារចនាសម្ព័ន្ធ ការអភិវឌ្ឍឌីជីថលូបនីយកម្ម និងការប្រឹងប្រែងជាមួយបណ្តាប្រទេសសមាជិកអាស៊ាន ក្នុងការអនុវត្តផែនការមេស្តីពីការតភ្ជាប់អាស៊ាន (Master Plan on ASEAN Connectivity) ឆ្នាំ២០២៥
65,(Phnom Penh),(ភ្នំពេញ)
66,"On the afternoon of Friday, 29 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from Mr",នារសៀលថ្ងៃសុក្រ ទី២៩ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម អនុញ្ញាតជូនលោក Sangho Jo នាយកប្រតិបត្តិក្រុមហ៊ុនសាមសុងអេឡិកត្រូនិកប្រចាំតំបន់អាស៊ីអាគ្នេយ៍ និងអូសេអានី និងសហការី ចូលជួបសម្តែងការគួរសម និងពិភាក្សាការងារ
67,to seek Cambodia support on candidacy of Republic of Korea Hosting World Expo 2030 in Busan,នៅក្នុងជំនួបនេះ លោកនាយកប្រតិបត្តិក្រុមហ៊ុនបាន សម្តែងអំណរសាទរជូនលោកជំទាវរដ្ឋមន្រ្តីដែលត្រូវបានរាជរដ្ឋភិបាលផ្តល់ទំនុកចិត្ត តែងតាំងជាលោកជំទាវជារដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម និងបានស្នើសុំការគាំទ្រព្រះរាជាណាចក្រកម្ពុជាលើបេក្ខភាពសាធារណៈ​រដ្ឋ​កូរ៉េ ធ្វើជាម្ចាស់ផ្ទះពិព័រណ៍ពិភពលោកឆ្នាំ២០៣០ នៅទីក្រុងប៊ូសាន (World Expo 2030 Busan)
68,(Phnom Penh),(ភ្នំពេញ)
69,"On the afternoon of 29 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from Her Excellency ÜLKÜ KOCAEFE, Ambassador of Türkiye to the Kingdom of Cambodia, to discuss ways to boost cooperation​, especially in potential areas such as agriculture",នារសៀលថ្ងៃទី២៩ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម អនុញ្ញាតជូនលោកជំទាវ ÜLKÜ KOCAEFE ឯកអគ្គរដ្ឋទូតនៃសាធារណរដ្ឋតួកគី ប្រចាំព្រះរាជាណាចក្រកម្ពុជា ចូលជួបសម្តែងការគួរសម និងពិភាក្សាការងារអំពីការបង្កើនកិច្ចសហប្រតិបត្តិការទ្វេភាគីលើទំនិញសក្តានុពលបន្ថែមទៀត ជាពិសេសលើវិស័យកសិកម្ម និងការកែឆ្នៃម្ហូបអាហារ ព្រមទាំងបង្កើនកិច្ចសហការបន្ថែមទៀតរវាង​វិស័យឯកជននៃប្រទេសទាំងពីរ
70,(Phnom Penh),(ភ្នំពេញ)
71,"On the morning of Tuesday, 2 October 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from Oknha Pech Bolen, President of the Young Entrepreneurs Association of Cambodia",នាព្រឹកថ្ងៃអង្គារ ទី៣ ខែតុលា ឆ្នាំ២០២៣ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម អនុញ្ញាតជូនឧកញ៉ា ប៉ិច បូឡែន ប្រធានសមាគមសហគ្រិនវ័យក្មេង​កម្ពុជា និងគណៈប្រតិភូ ចូលជួបសម្តែងការគួរសម និងរាយការណ៍ជូននូវវឌ្ឍនភាពការងាររបស់សមាគម
72,(Phnom Penh),(ភ្នំពេញ)
